Schema,Domain,Domain Description,Field,Array Field,Type,Related,Cardinality,Description
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",head_of_house_full_name,,String,,,This is the name of the head of house associated with member family. He can be part of membership or not.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",alternate_name_name,,String,,,This is the text representation of the person's full name. The intent is to represent the combined name for the person.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",accessibility,,Array,accessibility_info,one-many,"Accessibility focuses on how a disabled person accesses or benefits from a site, system or application."
Person,member,,,reference_id,String,,,This is a unique identifier
Person,member,,,type,String,,,"The type of accessibility requested - large print, audiotape, etc."
Person,member,,,request_ind,Boolean,,,The indicator that notes if a member has requested this type of accessibility.
Person,member,,,description,String,,,The description of the accessibility and details related to it.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",partd_lis_eligibility,,Array,subsidy_eligibility_info,one-many,Subsidy Eligibility
Person,member,,,reference_id,String,,,This is a unique identifier
Person,member,,,level,String,,,The federal poverty level eligibility for Low Income Subsidy.
Person,member,,,category,String,,,"Based on the federal poverty level, the category of subsidy that provides assistance with the premium payment and a reduction in the deductible and co-pays. The subsidy may be 100%, 75%, 50% or 25% of the Part D premium depending on the income range."
Person,member,,,marital_status,String,,,The marital status of the member - single or married.
Person,member,,,year,String,,,The benefit year of Low-Income Subsidy eligibility.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",msp_ind,,Boolean,,,Medicare Secondary Payer Indicator.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",msp_value,,String,,,The other entity who has the responsibility for paying before Medicare.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",iti_ind,,Boolean,,,"The indicator to note Medicaid coverage of certain inpatient, comprehensive services as institutional benefits."
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",address_address_type,,String,,,The type of the address. Examples are  postal | physical | both.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",address_address_use,,String,,,The use of the address. Examples are: home | work | temp | old | billing.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",address_attn_care_of,,String,,,This is the attention care line of the address data.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",address_address_line_1,,String,,,The first address line in an address. Examples are: street number | street name | P.O. Box.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",address_address_line_2,,String,,,The second address line in an address. Examples are: suite number | floor number | apartment number.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",address_address_line_3,,String,,,The third address line in an address.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",address_address_line_4,,String,,,The fourth address line in an address.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",address_po_box,,String,,,The PO Box information in an address.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",address_city,,String,,,The name of the city where the address is located. Values in the field reflect data as received by Abacus.
Person,member,"This is the subject area version of the Member domain. A member is an insured individual with associated health insurance data, such as claims, eligibility, or authorization. A member obtains insurance coverage through a health plan for one or more products and associated benefits and services. A member can also have multiple coverage services through different contracted insurance and employer group offerings. All coverage is evaluated through a coordination of benefits model. A member is either the primary subscriber (holds the insurance relationship) or a dependent through a member subscriber.",address_county,,String,,,The name of the county where the address is located. Values in the field reflect data as received by Abacus.
